action	lane	given	key	start_line	old_status	new_status	how	reasons	sentence	row_note
SKIP	hull-respell	LINE:1636	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.HullSC.hullOneStepStatement_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullBallFormNG_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullInputsCorrected_of_quasiGeodesicLeaves (lead ruling 09-13: historical quasi-geodesic leaves, superseded by nm-endpoints printedHullTheorem*_of_fourLeaves)		thm:hull (Hull Theorem 7.1(a),(c),(e)) over the selection, unbound and quasi-geodesic bridge leaves, with no relator re-spelling leaf: the canonical Lemma 4.4 is applied to the selected family carrying the relator. Resid
SKIP	hull-respell	LINE:1644	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.HullSC.hullOneStepStatement_of_quasiGeodesicLeaves GroupApproximation.HullSC.hullBallFormNG_of_quasiGeodesicLeaves (lead ruling 09-13: historical quasi-geodesic leaves, superseded by sec5-sentences row 27 printedHullProofParagraph_of_fourLeaves)		"Hull's proof treats m=1 by passing to G/<<r>> for one element r and the general case by induction on m": the one-relator step on Hull's published relator t^-1 u, then the induction hullBallFormNG_of_oneStep. Same three
SKIP	lix-descent	LINE:none	-	-	-	formalized	BAD-KEY			LIX stronger program (not the non-MF tex): odd-primary degree-one constant ((p-1)/2)!; LANDED eabf84751
SKIP	ms-compress-1	b180421b55ab	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ChainCore.oneBlock_image_antitone GroupApproximation.ChainCore.isClosed_oneBlock_image GroupApproximation.ChainCore.iInter_oneBlock_image_eq GroupApproximation.ChainCore.cycleCondition_iInter_of_antitone GroupApproximation.ChainCore.cycleCondition_iInter_oneBlock_image GroupApproximation.ChainCore.cycleCondition_itinerary_image_generalCore (ms-core-1 sweep 09-13: stale partial (hcore discharged by cycleCondition_coreSubshift); key graded by ms-core-1 printedItineraryIntersectionCycleCondition row (04240efed))		ms-compress-1 (census successor for chain-itinerary, down): tex 1439-1441, "The sets on its right decrease and satisfy the cycle condition; finite language stabilization proves that their intersection does too." Carried
SKIP	ms-compress-4	f3a27465fade	-	-	-	carrier	STALE-KEY			ms-compress-4: display row (NON_MF_DISPLAY_MAP.tsv), tex 698-701 in the proof of thm:normal-kazhdan, "|tr_{r_n}(W_n(k))-1| <= ||W_n(k)-I_{r_n}||_2 -> 0 (k in K)"; the inequality is norm_normTrace_sub_one_le and the limit
SKIP	ms-core-4	f0c16e5c8519	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.ClopenCrossedProduct.PrintedTransientIdealGeneratedByDefects GroupApproximation.ClopenCrossedProduct.printedTransientIdealGeneratedByDefects GroupApproximation.ClopenCrossedProduct.transientIdeal_chainRecurrentSet_eq_span GroupApproximation.ClopenCrossedProduct.disjoint_diff_image_chainRecurrentSet (ms-core-1 sweep 09-13: stale partial (locally matricial clause closed: printedTransientMatricesIdealClauses); key graded by ms-units, ms-inverses-3 and ct-bilateral-mf formalized rows)		ms-core-4: tex 1476-1477 (lem:transient-matrices), "The ideal I is locally matricial and is generated by the indicators 1_{P\T(P)} of the defects in Lemma lem:chain-core-models."; the generation clause is closed at Y = C
SKIP	sec5-sentences	LINE:1629	-	-	-	partial	census override DROP	every declaration retired: GroupApproximation.GGT.IsAcylindricallyHyperbolicOsin GroupApproximation.GGT.isAcylindricallyHyperbolic_iff_osin GroupApproximation.GGT.exists_hullGeneratingSet_of_osin GroupApproximation.GGT.SequentialBoundary.IsAcylindricallyHyperbolicLimitSet GroupApproximation.GGT.SequentialBoundary.isAcylindricallyHyperbolicLimitSet_of_osin GroupApproximation.Manuscript.NonMF.TorsionFreeLimitSetNotion.manuscriptSentence_hullGeneratingSetLimitSet (ms-core-4 finding (report 21:32), main's order 23:12: sec5-sentences is down (idle since 17:39); every declaration of its LINE:1629 row is dropped, so key a9dd4b90e479 grades from the cite-hull and ms-torsionfree rows)		choose the generating set A provided by Hull [Theorem 3.12]: Osin's notion (independent-loxodromics spelling) is equivalent to Hull's Cayley form and gives A; it implies the limit-set spelling (easy direction of Osin Thm
SKIP	sk-ms-core-3	13bf024677ad	-	-	-	formalized	STALE-KEY			ms-core-3: tex 171-173 at 9047d0d3c, "The equality holds since transvections generate $\SL_{3N_\ell}(\F_2)$, and those inside one block are commutators of those between blocks." Along the printed route, at the generality
SKIP	sk-ms-core-3	414df07890f1	-	-	-	partial	STALE-KEY			ms-core-3: tex 168-171 at 9047d0d3c, "So $G$ and $\EL_3(M_{N_\ell}(\F_2))=\SL_{3N_\ell}(\F_2)$ are quotients of $\EL_3(F)$, which is generated by the matrices $e_{ij}(1)$ and $e_{ij}(\tau)$ with $\tau\in\{\tau_\pm,\tau_a
SAME-GRADE	agp-units	LINE:1260	64da88cf12a3	1274	formalized	formalized	line 1260->1274 match 0.93>0.13		[(a)] There are orthogonal idempotents $e_1,\dots,e_m$ with sum $1$, $m\ge4$, such that $e_1,\dots,e_{m-1}$ are pairwise equivalent and $e_m$ is equivalent to a	rows/agp-units.tsv: thm:mf-quotient-units item (a) first sentence (orthogonal idempotents, sum 1, m>=4, off-last blocks pairwise equivalent, e_m ~ f <= e_1); carrier states exactly this sentence. LANDED 8a992fe6d (compiled, probe 0911-195701) [census merge 4c3d9dd02]
SAME-GRADE	agp-units	LINE:1262	49ff6f7e8ad6	1276	formalized	formalized	line 1262->1276 match 0.67>0.17		Then $R$ is the ring of $m\times m$ matrices over $T=e_1Re_1$, with identity $\operatorname{diag}(1_T,\dots,1_T,f)$, whose last column has entries in $Tf$ and w	rows/agp-units.tsv: thm:mf-quotient-units item (a) second sentence: R = twisted m x m matrix ring over T = e_1Re_1 with Tf/fT support and u = gvh, for EVERY decomposition meeting (a). LANDED 8a992fe6d (compiled, probe 0911-195701) [census merge 4c3d9dd02]
SAME-GRADE	agp-units	LINE:1230	5c5eeda68a8a	1244	formalized	formalized	line 1230->1244 note-key		The ring $M_n(R)$ is again countable, purely infinite, and simple~\cite[Corollary~1.7]{AGP}, and $K_1(M_n(R))\cong K_1(R)$ by Morita invariance, so it suffices	rows/agp-units.tsv: thm:mf-quotient-units proof sentence 1 (census key 5c5eeda68a8a): all three clauses (Morita landed ace5ecf8d) plus "so it suffices to treat n=1" as PrintedMFQuotientUnitsKOne -> PrintedMFQuotientUnitsKOneAtBaseRing along the printed route. compiled probe 0911-201101 (base aa931d5
SAME-GRADE+UNION2	agp-units,ms-units	LINE:1285,2d6574150d4d	2d6574150d4d	1299	formalized	formalized	line 1285->1299 note-key; key		are products of an element of $\EL_{m-1}(T)$ and a conjugate of its inverse, so they lie in the normal subgroup $N$ as well.	rows/agp-units.tsv: thm:mf-quotient-units (key 2d6574150d4d): both displays as the printed commutators, as products of an element of EL_{m-1}(T) and a conjugate of an inverse, lying in every normal N containing the off-last roots; closed at N=Rad_MF. compiled probe 0911-201101 (base aa931d533); byte
SAME-GRADE	agp-units	LINE:148	8766dc520cfb	148	formalized	formalized	note-key		the unit group of the binary Leavitt algebra, because $H$ is simple and every homomorphism from $H$ to an MF group is trivial. The right module $R_R$ over $R=L_	rows/agp-units.tsv: Introduction tex 145-153 (key 8766dc520cfb): H simple, every hom to an MF group trivial, R_R = R_R+R_R as right modules, H = Aut(R_R), H = GL_n(R) = EL_n(R) for every n>=2, at L_F2(1,2); Khanh-Thanh is attribution. compiled probe 0911-201101 (base aa931d533); bytes on main at 11c
SAME-GRADE	agp-units	LINE:243	0e0ede2715c4	243	formalized	formalized	only-candidate	rows/agp-units.tsv cites no landed commit; its declarations are defined and compiled at origin	For a countable purely infinite simple ring $R$ and $n\ge1$, Theorem~\ref{thm:mf-quotient-units} identifies $\Rad_{\mathrm{MF}}(\GL_n(R))$ with the commutator s	rows/agp-units.tsv: Introduction tex 243-246 (key 0e0ede2715c4): for countable PIS R and n>=1, Rad_MF(GL_n(R)) = [GL_n,GL_n] and GL_n/Rad_MF = K_1(R) (the badged endpoints; K_1(R) MF from the n=1 endpoint). The L_k(1,d) sentence (key 2d6ab84875e0) belongs to leavitt-k1 (LeavittKOneFormulaSentences).
SAME-GRADE	agp-units	LINE:1242	df9b558e0cb8	1256	formalized	formalized	line 1242->1256 note-key		Every nonzero idempotent $e$ of $R$ is infinite~\cite[Proposition~1.5]{AGP}, so $eRe$ contains $s,t$ with $ts=e\ne st$, and $eRe$ is simple, so $e-st$ generates	rows/agp-units.tsv: thm:mf-quotient-units (key df9b558e0cb8) at the printed objects: e infinite (AGP 1.5 proved), eRe = Corner R e he contains s,t with ts = e != st and e-st full, eRe simple, EL_m(eRe) killed for m>=2. compiled probe 0911-201101 (base aa931d533); bytes on main at 11ce37cb0, verified
SAME-GRADE	agp-units	LINE:1246	9fcd02a03747	1266	formalized	formalized	line 1246->1260 note-key		since these units form the image of $\EL_m(eRe)$ under a homomorphism to $H$.	rows/agp-units.tsv: eq:corner-units (key 9fcd02a03747) at the printed objects: for nonzero idempotents e,P and a ring iso theta : M_m(eRe) -> PRP, the units 1-P+theta(A) are the values of one hom EL_m(eRe) -> H, whose range lies in N. compiled probe 0911-201101 (base aa931d533); bytes on main at 11c
SAME-GRADE	agp-units	LINE:1268	1fd773c6c314	1282	formalized	formalized	line 1268->1282 note-key		[(b)] For a nonzero idempotent $e$ and $n\ge2$ there are an idempotent $f<e$ equivalent to $e$ and orthogonal idempotents $r_2,\dots,r_n\le e-f$, each equivalen	rows/agp-units.tsv: item (b) (key 1fd773c6c314), every printed object built: f<e, f~e, r_2..r_n <= e-f each ~1, r_1 = 1-e+f, P = sum r_i, ring iso theta : M_n(R) -> PRP with theta(diag(v,1,...,1)) = (1-e)v(1-e)+f+r_2+...+r_n. Previously agpStepOne (two-coordinate Whitehead route). compiled probe 091
SAME-GRADE	agp-units	LINE:1292	c8680722d041	1306	formalized	formalized	line 1292->1306 note-key		With $\theta$ and $P$ as in (b), $v=1-P+\theta(\operatorname{diag}(v,1,\dots,1))$, which lies in $N$ by~\eqref{eq:corner-units}.	rows/agp-units.tsv: thm:mf-quotient-units last paragraph (key c8680722d041) along the printed route: the K_1 rank n, theta and P from (b), v = 1-P+theta(diag(v,1,...,1)) as the value of A -> 1-P+theta(A), hence in N. compiled probe 0911-201101 (base aa931d533); bytes on main at 11ce37cb0, verified b
SAME-GRADE	agp-units	LINE:1290	ce26fc21c942	1304	structural	structural	line 1290->1304 note-key		So let $v=e+(1-e)v(1-e)$ with $e\ne0$ and $\kappa(v)=0$.	rows/agp-units.tsv: "So let v = e+(1-e)v(1-e) with e != 0 and kappa(v) = 0" (key ce26fc21c942): introduces the binders of the paragraph carrier. compiled probe 0911-201101 (base aa931d533); bytes on main at 11ce37cb0, verified by e0f2f90ed [census merge 4c3d9dd02]
SAME-GRADE	agp-units	LINE:1234	55adb8bf7a88	1248	formalized	formalized	line 1234->1248 note-key		A countable abelian group $A$ is MF: $C^*_{\max}(A)$ is commutative and separable, hence residually finite-dimensional and MF~\cite{BK}, and Lemma~\ref{prop:mf-	rows/agp-units.tsv: thm:mf-quotient-units (key 55adb8bf7a88) along the printed route: C*max(A) commutative (dense span) and separable, RFD (Gelfand characters), MF (separable RFD, BK, proved), Lemma prop:mf-residual-calculus with the faithful canonical map. Replaces the route-different LEF/RF carrie
SAME-GRADE	agp-units	LINE:1277	8c6a65ba3286	1291	formalized	formalized	line 1277->1291 note-key		The elementary matrices with $i,j\le m-1$ form $\EL_{m-1}(T)$ inside $(1-e_m)R(1-e_m)\cong M_{m-1}(T)$, so they lie in $N$ by~\eqref{eq:corner-units}; for disti	rows/agp-units.tsv: thm:mf-quotient-units sentence 8 first clause (key 8c6a65ba3286) at the printed objects: ring iso (1-e_m)R(1-e_m) = M_{m-1}(T), T = e_1Re_1, every off-last root = 1-P+theta(e_ij(c)) with e_ij(c) in EL_{m-1}(T), in N by eq:corner-units; for every item-(a) decomposition. compiled p
SAME-GRADE	agp-units	LINE:1287	f2f92d2bbb71	1300	formalized	formalized	line 1287->1301 note-key		Hence $u\equiv v$ modulo $N$, and $\kappa(v)=\kappa(u)=0$ because $N\le\ker\kappa$.	rows/agp-units.tsv: thm:mf-quotient-units (key f2f92d2bbb71) "Hence u = v modulo N, and kappa(v)=kappa(u)=0" along the printed route for EVERY item-(a) decomposition: off-last roots in N (offLastCorner + eq:corner-units), last-row/column roots via the two Steinberg displays, u v^-1 = g(v h v^-1) in
SAME-GRADE	agp-units	LINE:1277	488237f2dec0	1291	formalized	formalized	line 1277->1291 note-key		Let $u\in\ker\kappa$ and write $u=gvh$ as in (a).	rows/agp-units.tsv: "Let u in ker kappa and write u = gvh as in (a)" (key 488237f2dec0): the factorization u = gvh at every item-(a) decomposition (printed route), replacing the two-index Peirce carrier as the primary citation. LANDED 8a992fe6d (ItemA carriers) [census merge 4c3d9dd02]
SAME-GRADE	audit-intro	be1769283b2f	be1769283b2f	112	definition	definition	key		Here and below, products of $C^*$-algebras mean bounded products, and $\bigoplus$ denotes the ideal of norm-null sequences.	rows/audit-intro.tsv: audit-intro: tex line 112 "products of C*-algebras mean bounded products, and (+) denotes the ideal of norm-null sequences" had no carrier. PrintedBoundedProductsNullIdeal states it at the printed generality: for every sequence of C*-algebras the product is lp infinity (bounded
SAME-GRADE	audit-intro	651e122a919e	651e122a919e	134	definition	definition	key		where $V$ is the ascending HNN extension of $\mathbb Z^3\rtimes\mathrm{SL}_3(\mathbb Z)$ along $(v,A)\mapsto(2v,A)$, the set $X$ is the coset space of $\mathbb	rows/audit-intro.tsv: audit-intro: tex line 134 "V is the ascending HNN extension of Z^3 x| SL_3(Z) along (v,A) -> (2v,A), X is the coset space ..., Cl(X) is generated by involutions c_x and a central involution eps with [c_x,c_y]=eps" had no carrier. PrintedCliffordWitnessGroup states the literal g
SAME-GRADE	audit-intro	ec81a8c16b64	ec81a8c16b64	156	definition	definition	key		We use the group commutator convention $[g,h]=ghg^{-1}h^{-1}$.	rows/audit-intro.tsv: audit-intro: tex line 156 "We use the group commutator convention [g,h]=ghg^-1h^-1" had no carrier. PrintedCommutatorConvention: in every group the bracket used by every Lean statement of the paper is g h g^-1 h^-1. Closed proof manuscriptSentence_commutatorConvention, gated by
SAME-GRADE	audit-intro	9930600167a4	9930600167a4	140	formalized	formalized	key		Every homomorphism from $W$ to an MF group kills $\varepsilon$ (Section~\ref{sec:amenable-nonqd}).\footnote{The Lean proof was registered at Palomar on August~2	rows/audit-intro.tsv: audit-intro: tex line 134 "Every homomorphism from W to an MF group kills epsilon" was carried only by the general theorem manuscriptMapSignEqOneOfIsOperatorMFTarget; main had no specialization to the literal W and no property (T) for AffineSL3Doubling.Gamma. PrintedWitnessMFHo
