a2-kernel-removal-iff-image-satisfies-pbh | claim | rb=0 | ESTABLISHED** by `a2-kernel-removal-iff-image-pbh-proof` | The kernel of a type [A_2] action can be removed exactly when the action image embeds in a group with a type (A_2) action
char-zero-linear-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through | Every finitely generated linear group in characteristic zero lies in the permutational Boone--Higman class
char-zero-ring-boone-higman | claim | rb=0 | OPEN | Every finitely generated Q-algebra with solvable word problem embeds in a finitely presented simple ring
ck-finite-bi-index-hole-is-kazhdan-boone-higman | claim | rb=0 | ESTABLISHED** through `ck-finite-bi-index-hole-is-kazhdan-boone-higman | The finite bi-index envelope hole implies Kazhdan Boone--Higman, and is equivalent to it when the simple core is free
ck-finite-bi-index-hole-via-kazhdan-boone-higman | route | rb=0 | proved | A finitely presented simple Kazhdan host is its own envelope with bi-index one
closed-surface-mapping-class-groups-satisfy-boone-higman | claim | rb=0 | OPEN | The mapping class group of every closed surface of genus at least three embeds in a finitely presented simple group
compact-3-manifold-groups-satisfy-pbh | claim | rb=0 | OPEN | The fundamental group of every compact 3-manifold lies in the permutational Boone--Higman class
complex-fp-simple-groups-from-apapa-rf-boone-higman | route | rb=0 |  | Embed the hard Kharlampovich-Myasnikov-Sapir groups of the variety A_p^2 A and read off complex simple hosts
complex-fp-simple-groups-from-boone-higman | route | rb=0 |  | Embed the hard graph-shift groups by the conjecture and read off complex simple hosts
countable-decidable-bh-from-boone-higman | route | rb=0 |  | Survey Corollary 3.5 - a Higman-Neumann-Neumann two-generator decidable overgroup reduces countable inputs to finitely generated ones
decidable-edge-tower-premise-is-equivalent-to-boone-higman | claim | rb=0 | OPEN | Tree-tower reductions of Boone--Higman collapse to their base class, and the decidable-edge tower premise is equivalent to Boone--Higman
deligne-lattice-satisfies-boone-higman | claim | rb=0 | OPEN | Deligne's non-residually-finite lattice in the universal cover of Sp_4(R) embeds in a finitely presented simple group
drutu-sapir-group-satisfies-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through `drutu-sapir-bh-via-power-map-mappi | The Druţu--Sapir group <a,b | a^2 b^2 a^-2 b^-1> embeds in a finitely presented simple group
e-type-artin-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED** through `e-type-artin-pbh-via-spherical-permutational-fo | The Artin groups of types E_6, E_7, E_8 embed in groups with type (A) actions
even-fc-artin-groups-satisfy-permutational-boone-higman | claim | rb=0 | Proved | Every even Artin group of FC type, and every even Artin group whose cliques have irreducible factors of type Z, I_2(2k) or C̃_2, embeds in a finitely presented sim
exotic-a2-lattices-satisfy-boone-higman | claim | rb=0 | OPEN | Cocompact lattices on exotic A2-tilde buildings embed in finitely presented simple groups
folner-separators-of-boone-higman | claim | rb=0 | ESTABLISHED** by `folner-separators-of-boone-higman-proof` | A Følner-growth bound U separates Boone--Higman iff every finitely presented simple group has all amenable subgroups below U; below every tower this fails, and uni
fp-metabelian-bh-via-quasi-linear-pbh | route | rb=0 | known | Split a metabelian group into linear quotients of pure characteristic and place the product in B_A through self-similar hosts
fp-metabelian-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through `fp-metabelian-bh-via-quasi-linear- | Every finitely presented metabelian group embeds in a finitely presented simple group
fp-residually-finite-boone-higman | claim | rb=0 | OPEN | Every finitely presented residually finite group embeds in a finitely presented simple group
fp-rf-apapa-bh-from-fp-rf-boone-higman | route | rb=0 |  | Specialize the residually finite Boone-Higman problem to the variety A_p^2 A
fp-rf-apapa-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Finitely presented residually finite groups in the variety A_p^2 A embed in finitely presented simple groups
fp-rf-boone-higman-from-boone-higman | route | rb=0 |  | Specialize the conjecture to finitely presented residually finite inputs
fp-self-similar-subgroups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED | Subgroups of finitely presented self-similar groups, and finitely generated linear groups over number fields, lie in the permutational Boone--Higman class
fp-simple-amenable-folner-growth-via-boone-higman | route | rb=0 | known | Embed the decidable diagonal product that beats U into a finitely presented simple group
fp-simple-full-mf-radical-from-boone-higman | route | rb=0 |  | Feed the rank-twelve Leavitt group to Boone-Higman and push its radical up the inclusion
fp-simple-highly-transitive-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED (literature import) | A group satisfies permutational Boone--Higman exactly when it embeds in a finitely presented simple highly transitive, or MIF, group
fp-simple-kac-moody-lattices-satisfy-pbh | claim | rb=0 | ESTABLISHED | The finitely presented simple Kac--Moody groups, and all their subgroups, satisfy permutational Boone--Higman
fp-simple-large-dehn-via-boone-higman | route | rb=0 |  | Embed the dual-certificate group of an almost-everywhere hard set into a finitely presented simple group
fp-simple-mif-embedding-via-permutational-boone-higman | route | rb=0 | proved | Permutational Boone--Higman answers BFFHZ Question 3.4, so the V times minimal free SFT premises answer it too
fp-simple-nonexact-group-via-boone-higman | route | rb=0 | OPEN | Embed the decidable non-exact simple Kazhdan LEF group in a finitely presented simple group
fp-simple-nonsofic-from-boone-higman | route | rb=0 |  | Feed the rank-twelve Leavitt group to Boone-Higman and inherit nonsoficity upward
free-centre-by-metabelian-groups-satisfy-boone-higman | claim | rb=0 | OPEN | The finite-rank free centre-by-metabelian groups F/[F'',F] lie in the permutational Boone--Higman class
free-solvable-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED** by `free-solvable-pbh-via-magnus-and-wreath-closure` | Every free solvable group, and every F/N^(d) with F/N in the permutational class, lies in the permutational Boone--Higman class
global-field-soluble-linear-products-satisfy-boone-higman | claim | rb=0 | ESTABLISHED | Finitely generated soluble groups linear over finite products of number fields and positive-characteristic fields of transcendence degree at most one satisfy permu
hard-type-a-actors-from-permutational-boone-higman | route | rb=0 |  | Embed the hard graph-shift groups in type (A) actors by the permutational conjecture
hereditary-approximation-disproofs-of-boone-higman | claim | rb=0 | ESTABLISHED** through `hereditary-approximation-disproofs-of-boone-hig | An approximation property that forces soficity or MF-ness cannot disprove Boone--Higman, and a hyperlinear disproof needs three open theorems
higman-group-satisfies-boone-higman | claim | rb=0 | OPEN | Higman's four-generator group embeds in a finitely presented simple group
hyperbolic-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (literature import) | Every hyperbolic group embeds in a finitely presented simple group
infinite-simple-input-boone-higman | claim | rb=0 | OPEN | Every infinite finitely generated computably presented simple group embeds in a finitely presented simple group
irrational-slope-v-tau-subgroups-satisfy-pbh | claim | rb=0 | OPEN | Every subgroup of the irrational-slope Thompson group V_τ, including T_τ and the simple index-two subgroups, satisfies permutational Boone--Higman
isolated-overgroup-via-boone-higman | route | rb=0 |  | A finitely presented simple overgroup is an isolated overgroup
leavitt-square-unit-groups-mod-scalars-satisfy-pbh | claim | rb=0 | ESTABLISHED** through `leavitt-square-units-pbh-via-chen-line-action`  | For every prime p the finitely presented simple group (L_(F_p)(1,2) ⊗ L_(F_p)(1,2))^× / F_p^× admits an action of type (A), so it and all its subgroups satisfy per
leavitt-subalgebra-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (conditional on the imported finite presentation) | Linear groups over subalgebras of the binary Leavitt algebra embed in its finitely presented simple unit group
leavitt-unit-groups-mod-scalars-satisfy-pbh | claim | rb=0 | ESTABLISHED** through `leavitt-units-pbh-via-chen-module-line-action`  | For every prime p the finitely presented simple group L_(F_p)(1,2)^× / F_p^× admits an action of type (A), so it and all its subgroups satisfy permutational Boone-
local-boone-higman-from-boone-higman | route | rb=0 |  | A decidable model of a finite system embeds in a finitely presented simple group, which then carries the same solution
local-boone-higman-iff-boone-higman | claim | rb=0 | ESTABLISHED** through `local-boone-higman-iff-boone-higman-proof` | Local Boone--Higman is equivalent to Boone--Higman, already for single-inequation systems over finitely presented decidable groups
lodha-circle-group-satisfies-pbh | claim | rb=0 | ESTABLISHED** through `lodha-circle-group-pbh-via-qp1-action` (not ind | Every subgroup of Lodha's circle group S satisfies permutational Boone--Higman, and S embeds in a finitely presented simple MIF group
magnus-hnn-permanence-forces-one-relator-boone-higman | claim | rb=0 | ESTABLISHED (conditional theorem) | If Magnus-subgroup HNN extensions preserve finitely presented simple envelopes, then every one-relator group has one
mif-free-product-automorphism-ascending-hnn-is-pbh | claim | rb=0 | ESTABLISHED** through `mif-free-product-ascending-hnn-pbh-proof` | For a finitely presented simple MIF group M, every ascending HNN extension along an arbitrary automorphism of M * F_m lies in the permutational Boone--Higman class
mixed-characteristic-linear-products-satisfy-pbh | claim | rb=0 | ESTABLISHED (2026-09-13)** through `mixed-characteristic-products-pbh- | Direct and free products of a characteristic-zero linear group with a characteristic-two curve-linear group satisfy permutational Boone--Higman
nonfibered-closed-graph-manifold-groups-satisfy-pbh | claim | rb=0 | OPEN | Fundamental groups of closed graph manifolds that are not virtually fibered lie in the permutational Boone--Higman class
one-relator-bh-from-boone-higman | route | rb=0 |  | Specialize the Boone--Higman conjecture to one-relator groups through Magnus's word problem solution
one-relator-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every one-relator group embeds in a finitely presented simple group
out-free-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Every Out(F_n) with n at least three embeds in a finitely presented simple group
outer-extensions-of-fp-simple-mif-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED** through `outer-extensions-of-fp-simple-mif-groups-pbh-pr | Outer extensions of finitely presented simple MIF groups by finitely presented groups satisfy permutational Boone--Higman
polynomial-linear-groups-satisfy-boone-higman-via-zaremsky | route | rb=0 |  | Embed in a finitely presented parameter-coordinate affine host and apply Zaremsky's theorem
polynomial-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Every subgroup of GL_N(Z[1/m][t_1..t_k]) embeds in a finitely presented simple group
positive-char-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Every finitely generated linear group over a field of positive characteristic satisfies Boone--Higman
positive-char-surface-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (conditional on the imports behind | Finitely generated linear groups over positive-characteristic fields of transcendence degree at most two satisfy Boone--Higman
power-map-free-mapping-tori-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED** through `power-map-free-mapping-tori-pbh-proof` | Ascending HNN extensions of F_n along permuted power maps x_i -> x_π(i)^(m_i) lie in the permutational Boone--Higman class
prime-field-leavitt-unit-groups-satisfy-pbh | claim | rb=0 | OPEN | For every prime p the unit group of the binary Leavitt algebra over F_p satisfies permutational Boone--Higman
product-of-trees-lattices-satisfy-permutational-boone-higman | claim | rb=0 | OPEN | Every group acting on a finite product of locally finite trees with finite vertex stabilizers and finitely many vertex orbits lies in the permutational Boone--Higm
product-of-trees-lattices-with-faithful-factor-satisfy-pbh | claim | rb=0 | ESTABLISHED | A lattice in a finite product of locally finite trees lies in the permutational Boone--Higman class when some factor images separate points with finitely presented
product-of-two-trees-lattices-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED** through `product-of-two-trees-lattices-pbh-proof` | Every cocompact lattice in the automorphism group of a product of two locally finite trees satisfies permutational Boone--Higman
product-variety-free-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED** by `product-variety-pbh-via-mod-m-magnus-and-wreath-clos | If F/N lies in the permutational Boone--Higman class then so does F/[N,N]N^m for every m >= 0, and every finite-rank free group of a product of abelian varieties l
punctured-surface-mcgs-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (literature import) | Mapping class groups of surfaces with a puncture or boundary, and of closed surfaces of genus at most two, lie in the permutational Boone--Higman class
quasi-linear-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through `quasi-linear-pbh-via-coordinate-pr | Every finitely generated group of matrices over a finite product of fields, in any characteristics, lies in the permutational Boone--Higman class
random-walk-separators-of-boone-higman | claim | rb=0 | ESTABLISHED** by `random-walk-separators-of-boone-higman-proof` | No hereditary class defined by an entropy bound, a drift bound or the Liouville property on metabelian-or-larger subgroups separates Boone--Higman; the lamplighter
rational-linear-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (literature import) | Every finitely generated subgroup of GL_n(Q) embeds in a finitely presented simple group
simple-fa-input-boone-higman | claim | rb=0 | OPEN | Every finitely generated simple group with property FA and solvable word problem embeds in a finitely presented simple group
spherical-artin-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-12)** through | Every spherical-type Artin group embeds in a finitely presented simple group
spherical-artin-groups-satisfy-permutational-boone-higman | claim | rb=0 | ESTABLISHED (2026-09-13)** through | Every spherical-type Artin group lies in the permutational Boone--Higman class
stein-and-irrational-slope-f-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED** through `stein-and-irrational-slope-f-groups-pbh-via-orb | The Stein group F_{2,3} and the irrational-slope group F_τ have type (A) actions, so all their subgroups satisfy permutational Boone--Higman
stein-group-v23-subgroups-satisfy-pbh | claim | rb=0 | OPEN | Every subgroup of the Stein rearrangement group V_{2,3}, including T_{2,3} and its finitely presented simple subgroups, satisfies permutational Boone--Higman
titz-witzel-lattices-satisfy-permutational-boone-higman | claim | rb=0 | OPEN | The non-residually-finite Titz Mite--Witzel C2-tilde lattices satisfy permutational Boone--Higman
vertex-free-type-rotating-a2-groups-satisfy-boone-higman | claim | rb=0 | OPEN | Type rotating groups acting freely on the vertices of an Ã₂ building with finitely many orbits embed in finitely presented simple groups
virtually-fibered-3-manifold-groups-satisfy-pbh | claim | rb=0 | ESTABLISHED (2026-09-13)** through `virtually-fibered-3-manifold-pbh-p | Every group commensurable with a surface-by-cyclic group, in particular every virtually fibered closed 3-manifold group, lies in the permutational Boone--Higman cl
virtually-free-by-cyclic-groups-satisfy-boone-higman | claim | rb=0 | ESTABLISHED | Every group with a finitely generated free-by-cyclic subgroup of finite index embeds in a finitely presented simple group
zaremsky-2-14-by-boone-higman | route | rb=0 |  | Zaremsky Problem 2.14 is answered affirmatively by the Boone--Higman conjecture and Kuznetsov's theorem
